prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,AC-HE-0000,Urban Pedal Set,600,m,2019-11-21,
2,AC-HE-0001,Classic Tire,600,T,2021-04-30,
3,AC-HE-0002,Pro Tire,-10,T,2020-04-05,
4,AC-HE-0002,Pro Tire (Updated),80,T,2021-02-25,
5,BI-MT-0003,Race Pedal Set,250,r,2019-09-02,
6,BI-MT-0003,Race Pedal Set (Updated),250,r,2020-04-28,
7,BI-MT-0004,Pro Saddle,120,S,2021-07-03,
8,BI-RO-0005,Pro Helmet,250,r,2019-06-06,
9,BI-CO-0006,Elite Frame,120,m,2020-04-22,
10,BI-RO-0007,Race Frame,250,,2020-08-21,
11,BI-CO-0008,Race Pedal Set,250,T,2019-01-07,
12,BI-MT-0009,Race Frame,-10,,2020-03-05,
13,CO-SA-0010,Race Pedal Set,45,T,2019-08-13,
14,CO-SA-0010,Race Pedal Set (Updated),45,T,2020-11-03,
15,BI-CO-0011,Elite Saddle,,r,2021-03-28,
16,BI-RO-0012,Race Frame,45,m,2020-06-30,
17,BI-RO-0012,Race Frame (Updated),45,m,2021-08-05,
18,CO-SA-0013,Classic Tire,15,M,2020-10-20,
19,AC-HE-0014,Pro Bike,120,T,2019-12-02,
20,AC-HE-0014,Pro Bike (Updated),120,T,2020-12-03,
21,BI-MT-0015,Race Frame,120,,2021-09-01,
22,BI-MT-0016,Race Bike,250,M,2021-02-06,
23,BI-MT-0017,Pro Tire,15,,2021-09-07,
24,BI-CO-0018,Pro Helmet,-10,M,2020-09-28,
25,BI-CO-0018,Pro Helmet (Updated),80,M,2021-06-19,
26,AC-HE-0019,Urban Bike,600,R,2020-04-21,
27,BI-MT-0020,Pro Pedal Set,600,r,2021-01-05,
28,BI-MT-0020,Pro Pedal Set (Updated),600,r,2021-10-15,
29,BI-MT-0021,Trail Pedal Set,15,S,2020-08-12,
30,AC-HE-0022,Elite Tire,45,M,2020-08-29,
31,BI-RO-0023,Trail Tire,-10,S,2021-05-20,
32,BI-CO-0024,Race Pedal Set,-10,M,2019-12-22,
